,,,,,,,,,,,,,,,,,Kind,Name,CountInput,CountLine,CountLineBlank,CountLineCode,CountLineCodeDecl,CountLineCodeExe,CountLineComment,CountOutput,CountPath,CountPathLog,CountSemicolon,CountStmt,CountStmtDecl,CountStmtExe,Cyclomatic,CyclomaticModified,CyclomaticStrict,Essential,Knots,MaxEssentialKnots,MaxNesting,MinEssentialKnots,RatioCommentToCode
,,,,,,,,,,,,,,,,,Protected Method,com.github.scribejava.apis.Foursquare2Api.getAuthorizationBaseUrl(),0,3,0,3,1,1,1,1,1,0,1,2,1,1,1,1,1,1,0,0,0,0,0.33
,,,,,,,,,,,,,,,,,Public Method,com.github.scribejava.apis.Foursquare2Api.getBearerSignature(),0,3,0,3,1,1,0,2,1,0,1,2,1,1,1,1,1,1,0,0,0,0,0.00
,,,,,,,,,,,,,,,,,Public Static Method,com.github.scribejava.apis.Foursquare2Api.instance(),2,3,0,3,1,1,0,1,1,0,1,2,1,1,1,1,1,1,0,0,0,0,0.00
,,,,,,,,,,,,,,,,,Protected Constructor,com.github.scribejava.apis.FoursquareApi.FoursquareApi(),0,2,0,2,1,0,0,1,1,0,0,1,1,0,1,1,1,1,0,0,0,0,0.00
,,,,,,,,,,,,,,,,,Public Method,com.github.scribejava.apis.FoursquareApi.getAccessTokenEndpoint(),0,3,0,3,1,1,1,1,1,0,1,2,1,1,1,1,1,1,0,0,0,0,0.33
,,,,,,,,,,,,,,,,,Public Method,com.github.scribejava.apis.FoursquareApi.getAuthorizationBaseUrl(),1,3,0,3,1,1,0,1,1,0,1,2,1,1,1,1,1,1,0,0,0,0,0.00
,,,,,,,,,,,,,,,,,Public Method,com.github.scribejava.apis.FoursquareApi.getRequestTokenEndpoint(),0,3,0,3,1,1,1,1,1,0,1,2,1,1,1,1,1,1,0,0,0,0,0.33
,,,,,,,,,,,,,,,,,Public Static Method,com.github.scribejava.apis.FoursquareApi.instance(),2,3,0,3,1,1,0,1,1,0,1,2,1,1,1,1,1,1,0,0,0,0,0.00
,,,,,,,,,,,,,,,,,Protected Constructor,com.github.scribejava.apis.FrappeApi.FrappeApi(String),2,5,0,5,1,3,0,4,1,0,3,4,1,3,1,1,1,1,0,0,0,0,0.00
,,,,,,,,,,,,,,,,,Public Method,com.github.scribejava.apis.FrappeApi.getAccessTokenEndpoint(),1,3,0,3,1,1,0,1,1,0,1,2,1,1,1,1,1,1,0,0,0,0,0.00
